repo,age,language,releases,pull_requests,closed_issues,total_issues,closed_issues_ratio,last_update_days,pushed_at,created_at,stars,forks,watchers,collaborators
deepseek-ai/DeepSeek-R1,0,Unknown,0,7,174,475,0.3663157894736842,0,2025-03-13T23:35:44Z,2025-01-20T11:57:28Z,86230,11122,610,0
storybookjs/storybook,8,TypeScript,1000,10833,11149,13208,0.8441096305269533,0,2025-03-13T23:06:03Z,2016-03-18T04:23:44Z,86090,9472,934,0
microsoft/Web-Dev-For-Beginners,4,JavaScript,0,499,240,297,0.8080808080808081,0,2025-03-13T22:51:30Z,2020-11-10T02:44:00Z,85552,12743,2704,0
rustdesk/rustdesk,4,Rust,28,3367,3269,3317,0.9855290925535122,0,2025-03-13T23:25:10Z,2020-09-28T15:36:08Z,84123,11842,497,0
open-webui/open-webui,1,JavaScript,96,1821,4239,4419,0.9592668024439919,0,2025-03-13T23:54:30Z,2023-10-06T22:08:27Z,83066,10020,391,0
nvm-sh/nvm,14,Shell,69,725,1960,2265,0.8653421633554084,0,2025-03-13T23:53:29Z,2010-04-15T17:47:47Z,82765,8298,1023,0
django/django,12,Python,0,9568,0,0,0,0,2025-03-13T22:22:01Z,2012-04-28T02:47:18Z,82701,32362,2289,0
shadcn-ui/ui,2,TypeScript,37,520,2052,2879,0.7127474817645015,0,2025-03-13T23:49:13Z,2023-01-04T12:43:27Z,82660,5480,265,0
florinpop17/app-ideas,6,Unknown,0,149,43,169,0.25443786982248523,0,2025-03-13T22:58:24Z,2019-02-25T18:36:56Z,82532,9668,1841,0
bitcoin/bitcoin,14,C++,54,14973,8043,8441,0.9528491884847767,0,2025-03-13T23:44:27Z,2010-12-19T15:16:43Z,82455,36924,4045,0
fastapi/fastapi,6,Python,203,2584,3412,3465,0.9847041847041847,0,2025-03-13T22:55:30Z,2018-12-08T08:21:47Z,81977,7081,691,0
ChatGPTNextWeb/NextChat,2,TypeScript,76,875,2845,3438,0.8275159976730657,0,2025-03-13T21:56:58Z,2023-03-10T18:27:54Z,81905,61233,425,0
langgenius/dify,1,TypeScript,121,5201,7234,7766,0.9314962657738862,0,2025-03-13T23:34:24Z,2023-04-12T07:40:24Z,81786,11997,554,0
sveltejs/svelte,8,JavaScript,405,5529,7254,8028,0.9035874439461884,0,2025-03-13T23:05:08Z,2016-11-20T18:13:05Z,81751,4419,849,0
animate-css/animate.css,13,CSS,22,315,841,873,0.9633447880870561,0,2025-03-13T23:46:38Z,2011-10-12T10:07:38Z,81416,16220,2248,0
gothinkster/realworld,9,TypeScript,0,433,495,540,0.9166666666666666,0,2025-03-13T22:01:11Z,2016-02-26T20:49:53Z,81299,7408,1525,0
opencv/opencv,12,C++,65,12778,8467,11037,0.7671468696203678,0,2025-03-13T18:30:37Z,2012-07-19T09:40:17Z,81073,56024,2653,0
jaywcjlove/awesome-mac,8,JavaScript,10,953,341,453,0.7527593818984547,0,2025-03-13T23:42:07Z,2016-07-17T15:33:47Z,80879,6432,1501,0
